category_id,name,slug
1,Grøntsager,vegetables
2,Frugt,fruit
3,Kød,meat
4,Fisk,fish
5,Mejeri,dairy
6,Brød,bread
7,Konserves og krydderier,seasoning
8,Pasta,pasta
9,Olier,oil
10,Bagning,baking
11,Frost,frozen
